name,state,did,admin_unit,debkg_id
Wittenberg,(ST),15091,43-Landkreis,DEBKGDL20000E14U
Erfurt,(TH),16051,40-Kreisfreie Stadt,DEBKGDL20000DXLQ
Gera,(TH),16052,40-Kreisfreie Stadt,DEBKGDL20000DW0L
Jena,(TH),16053,40-Kreisfreie Stadt,DEBKGDL20000DWHM
Suhl,(TH),16054,40-Kreisfreie Stadt,DEBKGDL20000E053
Weimar,(TH),16055,40-Kreisfreie Stadt,DEBKGDL20000DWTN
Eisenach,(TH),16056,40-Kreisfreie Stadt,DEBKGDL20000DXK8
Eichsfeld,(TH),16061,43-Landkreis,DEBKGDL20000DZFG
Nordhausen,(TH),16062,43-Landkreis,DEBKGDL20000DYXL
Wartburgkreis,(TH),16063,43-Landkreis,DEBKGDL20000E0FX
Unstrut-Hainich-Kreis,(TH),16064,43-Landkreis,DEBKGDL20000DWPU
Kyffhäuserkreis,(TH),16065,43-Landkreis,DEBKGDL20000E3HI
Schmalkalden-Meiningen,(TH),16066,43-Landkreis,DEBKGDL20000E2JO
Gotha,(TH),16067,43-Landkreis,DEBKGDL20000E08K
Sömmerda,(TH),16068,43-Landkreis,DEBKGDL20000DXI8
Hildburghausen,(TH),16069,43-Landkreis,DEBKGDL20000DWVH
Ilm-Kreis,(TH),16070,43-Landkreis,DEBKGDL20000E04Z
Weimarer Land,(TH),16071,43-Landkreis,DEBKGDL20000E01G
Sonneberg,(TH),16072,43-Landkreis,DEBKGDL20000DYQA
Saalfeld-Rudolstadt,(TH),16073,43-Landkreis,DEBKGDL20000E6O4
Saale-Holzland-Kreis,(TH),16074,43-Landkreis,DEBKGDL20000DZT7
Saale-Orla-Kreis,(TH),16075,43-Landkreis,DEBKGDL20000E0F6
Greiz,(TH),16076,43-Landkreis,DEBKGDL20000E65V
Altenburger Land,(TH),16077,43-Landkreis,DEBKGDL20000E3TM
